a,error,error_scaled,s,tau,v,v_scaled
0.18518518518518517,2.8912330174126204,0.28912330174126205,0.39717797388013354,10.0,5.4,0.54
0.17857142857142855,3.079417246927559,0.30794172469275594,0.37457458863219695,10.0,5.6000000000000005,0.56
0.1724137931034483,3.274310352530542,0.32743103525305417,0.35334312986067584,10.0,5.8,0.58
0.16666666666666666,3.4761585158989345,0.34761585158989344,0.33333333333333326,10.0,6.0,0.6
0.16129032258064516,3.6852369254430766,0.36852369254430767,0.31441272080028915,10.0,6.2,0.62
0.15625,3.9018536217096282,0.39018536217096284,0.29646353064078557,10.0,6.4,0.64
0.1515151515151515,4.126354180536491,0.41263541805364906,0.27938013506948134,10.0,6.6000000000000005,0.66
0.14705882352941174,4.359127438009722,0.43591274380097217,0.2630668208823281,10.0,6.800000000000001,0.68
0.14285714285714285,4.600612550070563,0.4600612550070563,0.2474358296526967,10.0,7.000000000000001,0.7000000000000001
0.1388888888888889,4.851307774105865,0.4851307774105865,0.2324055629261321,10.0,7.199999999999999,0.72
0.13513513513513511,5.11178151304971,0.511178151304971,0.21789885806212286,10.0,7.4,0.74
0.13157894736842105,5.382686377777379,0.5382686377777379,0.20384122874775873,10.0,7.6,0.76
0.1282051282051282,5.664777354557622,0.5664777354557622,0.19015893556655541,10.0,7.800000000000001,0.78
0.125,5.958935674251723,0.5958935674251723,0.1767766952966369,10.0,8.0,0.8
0.1219512195121951,6.266200788847947,0.6266200788847948,0.1636147300609601,10.0,8.200000000000001,0.8200000000000001
0.11904761904761904,6.5878142053839195,0.658781420538392,0.15058465048420852,10.0,8.4,0.84
0.11627906976744186,6.9252812350009165,0.6925281235000916,0.13758325076975852,10.0,8.6,0.86
0.11363636363636363,7.2804608948315686,0.7280460894831569,0.12448239943299225,10.0,8.8,0.88
0.1111111111111111,7.655702236524032,0.7655702236524032,0.11111111111111113,10.0,9.0,0.9
0.10869565217391303,8.054062033345303,0.8054062033345304,0.09722034684781691,10.0,9.200000000000001,0.92
0.10638297872340426,8.479676862726972,0.8479676862726973,0.08240390098313652,10.0,9.4,0.9400000000000001
0.10416666666666667,8.938462370474156,0.8938462370474156,0.0658807845868413,10.0,9.6,0.96
0.1020408163265306,9.43963190844593,0.943963190844593,0.04563404035713834,10.0,9.8,0.98
0.1,10.0,1.0,0.0,10.0,10.0,1.0
